长春大学 chang'chun'da'xue
知行合一诚信至善 zhi'hang'he'yi'cheng'xin'zhi'shan
卫光街 wei'guang'jie
卫明街 wei'ming'jie
卫星路 wei'xing'lu
人民大街 ren'min'da'jie
卫星广场 wei'xing'guang'chang
西校区 xi'xiao'qu
长春大学西校区 chang'chun'da'xue'xi'xiao'qu
考试课 kao'shi'ke
考查课 kao'cha'ke
通识教育 tong'shi'jiao'yu
思修 si'xiu
思修法基 si'xiu'fa'ji
思想道德修养与法律基础 si'xiang'dao'de'xiu'yang'yu'fa'lv'ji'chu
中国近现代史纲要 zhong'guo'jin'xian'dai'shi'gang'yao
毛泽东思想和中国特色社会主义理论体系概论 mao'ze'dong'si'xiang'he'zhong'guo'te'se'she'hui'zhu'yi'li'lun'ti'xi'gai'lun
形势与政策 xing'shi'yu'zheng'ce
程序设计思维 cheng'xu'she'ji'si'wei
复变函数与积分变换 fu'bian'han'shu'yu'ji'fen'bian'huan
筑梦 zhu'meng
学习筑梦 xue'xi'zhu'meng
工程图学 gong'cheng'tu'xue
电路原理 dian'lu'yuan'li
机械与车辆工程学院 ji'xie'yu'che'liang'gong'cheng'xue'yuan
邓克金 deng'ke'jin
李庆华 li'qing'hua
田鸿儒 tian'hong'ru
贺春山 he'chun'shan
赵昌龙 zhao'chang'long
马世强 ma'shi'qiang
工程训练中心 gong'cheng'xun'lian'zhong'xin
电子信息工程学院 dian'zi'xin'xi'gong'cheng'xue'yuan
电工电子教学中心 dian'gong'dian'zi'jiao'xue'zhong'xin
电教 dian'jiao
吴旭云 wu'xu'yun
李杰 li'jie
张猛 zhang'meng
李明晶 li'ming'jing
郭大为 guo'da'wei
秦宏伍 qin'hong'wu
微机原理 wei'ji'yuan'li
电机学 dian'ji'xue
电力电子技术 dian'li'dian'zi'ji'shu
科技写作与文献检索 ke'ji'xie'zuo'yu'wen'xian'jian'suo
电院 dian'yuan
管理学院 guan'li'xue'yuan
马晓锋 ma'xiao'feng
于焱 yu'yan
胡旭 hu'xu
刘富成 liu'fu'cheng
黄晓红 huang'xiao'hong
王福利 wang'fu'li
史玉凤 shi'yu'feng
冯建祝 feng'jian'zhu
张依农 zhang'yi'nong
尹桂凤 yin'gui'feng
张兴东 zhang'xing'dong
李秀彬 li'xiu'bin
刘凤宇 liu'feng'yu
高市 gao'shi
刘宣杰 liu'xuan'jie
高雪莲 gao'xue'lian
程志刚 cheng'zhi'gang
宋佳璐 song'jia'lu
王敏 wang'min
田迪 tian'di
李廷吉 li'ting'ji
刘富成 liu'fu'cheng
胡若飞 hu'ruo'fei
豆志杰 dou'zhi'jie
王力民 wang'li'min
白雪 bai'xue
张晶 zhang'jing
郑玲玲 zheng'ling'ling
冯松 feng'song
张春梅 zhang'chun'mei
刘洪涛 liu'hong'tao
徐越 xu'yue
张贺 zhang'he
计算机科学技术学院 ji'suan'ji'ke'xue'ji'shu'xue'yuan
计科 ji'ke
网络安全学院 wang'luo'an'quan'xue'yuan
网安 wang'an
中俄学院 zhong'e'xue'yuan
弗拉迪 fu'la'di
法捷耶娃 fa'jie'ye'wa
关秀丽 guan'xiu'li
肖冰 xiao'bing
玛利亚 ma'li'ya
