广通路 guang'tong'lu
奥林匹克公园 ao'lin'pi'ke'gong'yuan
地理所 di'li'suo
大学城路 da'xue'cheng'lu
光机路 guang'ji'lu
和安街 he'an'jie
北湖公园 bei'hu'gong'yuan
北湖大桥 bei'hu'da'qiao
小城子街 xiao'cheng'zi'jie
小南 xiao'nan
一二三中学 yi'er'san'zhong'xue
北环城路 bei'huan'cheng'lu
庆丰路 qing'feng'lu
一匡街 yi'kuang'jie
长春站北 chang'chun'zhan'bei
长春站 chang'chun'zhan
胜利公园 sheng'li'gong'yuan
人民广场 ren'min'guang'chang
解放大路 jie'fang'da'lu
东北师大 dong'bei'shi'da
工农广场 gong'nong'guang'chang
繁荣路 fan'rong'lu
卫星广场 wei'xing'guang'chang
市政府 shi'zheng'fu
华庆路 hua'qing'lu
红嘴子 hong'zui'zi
汽车公园 qi'che'gong'yuan
捷达大路 jie'da'da'lu
西湖 xi'hu
双丰 shuang'feng
长春西站 chang'chun'xi'zhan
兴隆堡 xing'long'pu
西环城路 xi'huan'cheng'lu
和平大街 he'ping'da'jie
万福街 wan'fu'jie
景阳广场 jing'yang'guang'chang
解放桥 jie'fang'qiao
建设广场 jian'she'guang'chang
文化广场 wen'hua'guang'chang
平阳街 ping'yang'jie
南关 nan'guan
吉林大路 ji'lin'da'lu
东盛大街 dong'sheng'da'jie
东环城路 dong'huan'cheng'lu
长青 zhang'qing
东方广场 dong'fang'guang'chang
伪满皇宫 wei'man'huang'gong
东广场 dong'guang'chang
芙蓉桥 fu'rong'qiao
南昌路 nan'chang'lu
朝阳桥 chao'yang'qiao
湖西桥 hu'xi'qiao
宽平桥 kuan'ping'qiao
抚松路 fu'song'lu
孟家屯 meng'jia'tun
湖光路 hu'guang'lu
电台街 dian'tai'jie
前进西 qian'jin'xi
前进大街 qian'jin'da'jie
卫明街 wei'ming'jie
卫光街 wei'guang'jie
亚泰立交桥 ya'tai'li'jiao'qiao
伊通河 yi'tong'he
职业学院 zhi'ye'xue'yuan
吉林广电 ji'lin'guang'dian
摩天活力城 mo'tian'huo'li'cheng
会展中心 hui'zhan'zhong'xin
世纪广场 shi'ji'guang'chang
金鑫街 jin'xin'jie
博硕路 bo'shuo'lu
金河街 jin'he'jie
农博园 nong'bo'yuan
净月潭 jing'yue'tan
净月潭公园 jing'yue'tan'gong'yuan
紫杉路 zi'shan'lu
宝相街 bao'xiang'jie
滑雪场 hua'xue'chang
长影世纪城 chang'ying'shi'ji'cheng
北亚泰大街 bei'ya'tai'da'jie
东大桥 dong'da'qiao
公平路 gong'ping'lu
海口路 hai'kou'lu
浦东路 pu'dong'lu
威海路 wei'hai'lu
北海路 bei'hai'lu
世荣路 shi'rong'lu
南环城路 nan'huan'cheng'lu
益盛街 yi'sheng'jie
天工路 tian'gong'lu
亚泰大街 ya'tai'da'jie
大经路 da'jing'lu
同志街 tong'zhi'jie
工农大路 gong'nong'da'lu
湖西路 hu'xi'lu
南湖广场 nan'hu'guang'chang
繁荣路西 fan'rong'lu'xi
硅谷广场 gui'gu'guang'chang
蔚山路西 wei'shan'lu'xi
安新路 an'xin'lu
越达路 yue'da'lu
顺达路 shun'da'lu
超强街 chao'qiang'jie
西南枢纽 xi'nan'shu'niu
袁家店 yuan'jia'dian
祝家屯 zhu'jia'tun
岱山公园 dai'shan'gong'yuan
飞跃广场 fei'yue'guang'chang
欧亚卖场 ou'ya'mai'chang
关谷大街 guan'gu'da'jie
蔚山路 wei'shan'lu
南四环 nan'si'huan
前进大街南 qian'jin'da'jie'nan
南湖中街 nan'hu'zhong'jie
南部新城西 nan'bu'xin'cheng'xi
中央商务区 zhong'yang'shang'wu'qu
南溪湿地 nan'xi'shi'di
福祉路西 fu'zhi'lu'xi
吴家店东 wu'jia'dian'dong
新城大街 xin'cheng'da'jie
樱花街 ying'hua'jie
聚业大街 ju'ye'da'jie
省博物馆 sheng'bo'wu'guan
西湖大路 xi'hu'da'lu
兴安路 xing'an'lu
兴顺路 xing'shun'lu
越野路 yue'ye'lu
辉南街 hui'nan'jie
南湖新村 nan'hu'xin'cun
吉大南岭校区 ji'da'nan'ling'xiao'qu
