哀咕 ai'gu
爱虎子 ai'hu'zi
挨克 ai'ke
挨剋 ai'kei
挨捋 ai'luo
哎吗呀 ai'ma'ya
挨排儿 ai'pai'er
爱谁谁 ai'shei'shei
挨梃 ai'ting
爱小儿 ai'xiao'er
哎呀吗呀 ai'ya'ma'ya
唉呀妈呀 ai'ya'ma'ya
爱咋咋地 ai'za'za'di
安巴拉 an'ba'la
俺的娘啊 an'de'niang'a
嗷嗷 ao'ao
嗷嗷地 ao'ao'di
嗷唠 ao'lao
坳木 ao'mu
袄袖子 ao'xiu'zi
袄罩儿 ao'zhao'er
叭叭 ba'ba
叭叭的 ba'ba'de
八八席 ba'ba'xi
八百辈子 ba'bai'bei'zi
巴包 ba'bao
八宝柱 ba'bao'zhu
八辈子 ba'bei'zi
巴不得 ba'bu'de
把儿 ba'er
把儿旯 ba'er'la
拔杆儿 ba'gan'er
八杆子拨拉不着 ba'gan'zi'bo'la'bu'zhao
巴狗儿 ba'gou'er
把家虎儿 ba'jia'hu'er
拔尖儿 ba'jian'er
拔犟眼子 ba'jiang'yan'zi
巴金克 ba'jin'ke
巴锔子 ba'ju'zi
巴拉狗子 ba'la'gou'zi
疤瘌节子 ba'la'jie'zi
笆篱子 ba'li'zi
拔路 ba'lu
把你给惯的 ba'ni'gei'guan'de
把头儿 ba'tou'er
巴瞎 ba'xia
扒瞎 ba'xia
耙羊 ba'yang
巴掌 ba'zhang
巴子 ba'zi
羓子 ba'zi
八字没一撇 ba'zi'mei'yi'pie
白不呲咧 bai'bu'ci'lie
百草霜 bai'cao'shuang
白茬儿 bai'cha'er
掰扯 bai'che
白扯 bai'che
白扯了 bai'che'le
摆儿摆儿的 bai'er'bai'er'de
白乎 bai'hu
白唬 bai'hu
白花奇 bai'hua'qi
白灰 bai'hui
白活 bai'huo
败家 bai'jia
败家子儿 bai'jia'zi'er
败酱草 bai'jiang'cao
白乐呵儿 bai'le'he'er
白脸儿蘑 bai'lian'er'mo
白毛儿风 bai'mao'er'feng
白蘑 bai'mo
拜年嗑儿 bai'nian'ke'er
白士布 bai'shi'bu
白头 bai'tou
白瞎了 bai'xia'le
白眼狼儿 bai'yan'lang'er
半半落儿 ban'ban'luo'er
板板正正 ban'ban'zheng'zheng
搬撑子 ban'cheng'zi
半搭子 ban'da'zi
半当腰儿 ban'dang'yao'er
板凳巴儿 ban'deng'ba'er
板凳狗 ban'deng'gou
班儿对班儿 ban'er'dui'ban'er
板儿石 ban'er'shi
板挂子 ban'gua'zi
板脚 ban'jiao
半截落儿 ban'jie'lao'er
半截腰儿 ban'jie'yao'er
伴旯 ban'la
半拉儿 ban'la'er
半拉桦儿 ban'la'hua'er
半拉架 ban'la'jia
半拉咔叽 ban'la'ka'ji
半拉克叽 ban'la'ke'ji
半拉可叽 ban'la'ke'ji
半拉科机 ban'la'ke'ji
半落儿 ban'luo'er
半皮 ban'pi
半山腰儿 ban'shan'yao'er
半腰儿 ban'yao'er
半语子 ban'yu'zi
板障子 ban'zhang'zi
扳子 ban'zi
棒槌 bang'chui
帮带儿 bang'dai'er
帮狗吃食 bang'gou'chi'shi
傍响儿 bang'xiang'er
棒子面儿 bang'zi'mian'er
刨锛儿 bao'ben'er
爆锅儿 bao'guo'er
保靠 bao'kao
苞米 bao'mi
苞米花儿 bao'mi'hua'er
苞米楼子 bao'mi'lou'zi
苞米面儿 bao'mi'mian'er
苞米面粥 bao'mi'mian'zhou
包屈 bao'qu
包沙地 bao'sha'di
暴土 bao'tu
暴土杨灰 bao'tu'yang'hui
抱窝 bao'wo
包源儿 bao'yuan'er
北边儿旯 bei'bian'er'la
备不住 bei'bu'zhu
被垛 bei'duo
背旮旮儿 bei'ga'ga'er
背锹 bei'qiao
背心子 bei'xin'zi
笨笨咔咔 ben'ben'ka'ka
锛得儿木 ben'de'er'mu
奔儿了头 ben'er'le'tou
锛儿喽 ben'er'lou
奔儿楼巴相 ben'er'lou'ba'xiang
本份年 ben'fen'nian
笨鸡 ben'ji
本历年 ben'li'nian
本命年 ben'ming'nian
本义年 ben'yi'nian
蹦蹦儿 beng'beng'er
蹦虫儿 beng'chong'er
蹦的蹦儿 beng'de'beng'er
崩得慌 beng'de'huang
逼扯 bi'che
鼻儿咕了 bi'er'gu'le
鼻嘎 bi'ga
鼻嘎吧 bi'ga'ba
毕露 bi'lu
鼻涕拉瞎 bi'ti'la'xia
鼻子不是鼻子 bi'zi'bu'shi'bi'zi
边儿拉 bian'er'la
变卦 bian'gua
扁嘴 bian'zui
飚的呼的 biao'de'hu'de
彪乎乎 biao'hu'hu
摽劲儿 biao'jin'er
别别扭扭儿 bie'bie'niu'niu'er
瘪儿 bie'er
别蝠 bie'fu
别脚 bie'jiao
别介 bie'jie
别价 bie'jie
憋啦巴屈 bie'la'ba'qu
别乐窝子 bie'le'wo'zi
瘪茄子 bie'qie'zi
瘪茄子了 bie'qie'zi'le
憋屈 bie'qu
滨江油 bin'jiang'you
滨金油 bin'jin'you
鬓卡儿 bin'ka'er
冰槽子 bing'cao'zi
冰镩 bing'cuan
冰点 bing'dian
冰嘎 bing'ga
冰窟窿 bing'ku'long
冰流子 bing'liu'zi
饽饽 bo'bo
拨大门儿 bo'da'men'er
鹁鸽儿 bo'ge'er
鹁鸽子 bo'ge'zi
簸火 bo'huo
波勒子 bo'le'zi
波棱盖儿 bo'leng'gai'er
脖立盖儿 bo'li'gai'er
玻璃叶 bo'li'ye
脖领子 bo'ling'zi
不打锛儿 bu'da'ben'er
不得烟儿抽 bu'de'yan'er'chou
不断溜儿 bu'duan'liu'er
布鸽子 bu'ge'zi
不见起 bu'jian'qi
不开面儿 bu'kai'mian'er
不靠盘儿 bu'kao'pan'er
不靠谱 bu'kao'pu
布拉吉 bu'la'ji
不赖 bu'lai
卜楞 bu'leng
不理会儿 bu'li'hui'er
不善 bu'shan
不上线儿 bu'shang'xian'er
不是物 bu'shi'wu
布丝儿 bu'si'er
不玩儿活儿 bu'wan'er'huo'er
不显山不露水儿 bu'xian'shan'bu'lu'shui'er
不想嘎哈 bu'xiang'ga'ha
不项楞 bu'xiang'leng
不许护 bu'xu'hu
不远匣 bu'yuan'xia
不远辖儿 bu'yuan'xia'er
不着调 bu'zhuo'diao
才刚儿 cai'gang'er
菜码儿 cai'ma'er
采棚 cai'peng
菜扫帚 cai'sao'zhou
残嗒木子 can'da'mu'zi
苍耳 cang'er
仓房儿 cang'fang'er
藏猫儿 cang'mao'er
藏猫猫 cang'mao'mao
仓棚子 cang'peng'zi
仓子 cang'zi
苍子 cang'zi
操蛋 cao'dan
草甸子 cao'dian'zi
草垡子 cao'fa'zi
草蜂 cao'feng
草窠儿 cao'ke'er
草窠子 cao'ke'zi
草镰 cao'lian
草溜子 cao'liu'zi
草驴 cao'lv
草蘑 cao'mo
草爬子 cao'pa'zi
草鞋底 cao'xie'di
草鞋底子 cao'xie'di'zi
槽子糕 cao'zi'gao
蹭饭儿 ceng'fan'er
插兜儿 cha'dou'er
碴儿 cha'er
茶根儿 cha'gen'er
茶咕头子粥 cha'gu'tou'zi'zhou
插关儿 cha'guan'er
岔纰 cha'pi
插屁 cha'pi
茶叶底子 cha'ye'di'zi
豺狼子 chai'lang'zi
柴镰 chai'lian
长白糕 chang'bai'gao
唱蹦蹦 chang'beng'beng
长脖儿老等 chang'bo'er'lao'deng
长虫 chang'chong
敞开吃 chang'kai'chi
敞亮 chang'liang
长寿面 chang'shou'mian
吵吵 chao'chao
吵吵巴火 chao'chao'ba'huo
吵吵八火地 chao'chao'ba'huo'di
扯蛋 che'dan
扯犊子 che'du'zi
车轱辘菜 che'gu'lu'cai
车轱辘草 che'gu'lu'cao
车辙子 che'zhe'zi
衬褂儿 chen'gua'er
陈灰 chen'hui
秤杆子 cheng'gan'zi
赤么乎 chi'me'hu
吃咂 chi'za
抽巴 chou'ba
抽抽巴巴 chou'chou'ba'ba
臭得瑟 chou'de'se
臭咕咕 chou'gu'gu
臭李子 chou'li'zi
瞅你咋的 chou'ni'za'de
臭棋篓子 chou'qi'lou'zi
瞅啥瞅 chou'sha'chou
臭油子 chou'you'zi
锄板儿 chu'ban'er
锄杠 chu'gang
杵胡子 chu'hu'zi
杵胡子了 chu'hu'zi'le
畜力 chu'li
出门子 chu'men'zi
杵子 chu'zi
串地龙 chuan'di'long
穿山龙 chuan'shan'long
吹胡子瞪眼 chui'hu'zi'deng'yan
春饼 chun'bing
春脖子 chun'bo'zi
蠢虫 chun'chong
春卷儿 chun'juan'er
春起 chun'qi
春头子 chun'tou'zi
呲哒 ci'da
茨答 ci'da
泚兜布儿 ci'dou'bu'er
刺儿菜 ci'er'cai
呲溜 ci'liu
刺猫乎 ci'mao'hu
刺玫果儿 ci'mei'guo'er
