爱草堂 ai'cao'tang
白求恩医学院 bai'qiu'en'yi'xue'yuan
百团纳新 bai'tuan'na'xin
白院 bai'yuan
长影 chang'ying
重庆路 chong'qing'lu
春园 chun'yuan
萃文 cui'wen
萃文楼 cui'wen'lou
党校办公室 dang'xiao'ban'gong'shi
地球科学学院 di'qiu'ke'xue'xue'yuan
第四饭堂 di'si'fan'tang
地探 di'tan
地探学院 di'tan'xue'yuan
地质宫 di'zhi'gong
电子科学与工程学院 dian'zi'ke'xue'yu'gong'cheng'xue'yuan
电子学院 dian'zi'xue'yuan
东荣 dong'rong
二学历 er'xue'li
鸽子楼 ge'zi'lou
工农广场 gong'nong'guang'chang
桂六 gui'liu
桂七 gui'qi
桂三 gui'san
桂四 gui'si
桂五 gui'wu
桂一 gui'yi
和平校区 he'ping'xiao'qu
红旗街 hong'qi'jie
化药 hua'yao
环境与资源学院 huan'jing'yu'zi'yuan'xue'yuan
惠雅 hui'ya
基本奖学金 ji'ben'jiang'xue'jin
基础园区 ji'chu'yuan'qu
吉大 ji'da
吉大法学院 ji'da'fa'xue'yuan
吉大就业网 ji'da'jiu'ye'wang
吉大学报 ji'da'xue'bao
吉大燕子 ji'da'yan'zi
吉大一院 ji'da'yi'yuan
机电男 ji'dian'nan
吉林大学 ji'lin'da'xue
吉林大学法学院 ji'lin'da'xue'fa'xue'yuan
吉林大学管理学院 ji'lin'da'xue'guan'li'xue'yuan
吉林大学化学学院 ji'lin'da'xue'hua'xue'xue'yuan
吉林大学经济学院 ji'lin'da'xue'jing'ji'xue'yuan
吉林大学商学院 ji'lin'da'xue'shang'xue'yuan
吉林大学数学学院 ji'lin'da'xue'shu'xue'xue'yuan
吉林大学体育学院 ji'lin'da'xue'ti'yu'xue'yuan
吉林大学网络中心 ji'lin'da'xue'wang'luo'zhong'xin
吉林大学物理学院 ji'lin'da'xue'wu'li'xue'yuan
吉林大学行政学院 ji'lin'da'xue'xing'zheng'xue'yuan
吉林大学学报 ji'lin'da'xue'xue'bao
吉林大学研究生院 ji'lin'da'xue'yan'jiu'sheng'yuan
机械科学与工程学院 ji'xie'ke'xue'yu'gong'cheng'xue'yuan
吉珠 ji'zhu
建设工程学院 jian'she'gong'cheng'xue'yuan
建设街 jian'she'jie
交通楼 jiao'tong'lou
经信 jing'xin
经信报告厅 jing'xin'bao'gao'ting
菁园 jing'yuan
净月潭 jing'yue'tan
卡伦湖 ka'lun'hu
快团网 kuai'tuan'wang
匡亚明 kuang'ya'ming
匡亚明楼 kuang'ya'ming'lou
理化楼 li'hua'lou
李四光 li'si'guang
李四光楼 li'si'guang'lou
麦氏楼 mai'shi'lou
梅六 mei'liu
梅三 mei'san
梅四 mei'si
梅五 mei'wu
梅一 mei'yi
南湖大路 nan'hu'da'lu
南湖广场 nan'hu'guang'chang
南岭 nan'ling
南岭校区 nan'ling'xiao'qu
南六 nan'liu
南五 nan'wu
南苑二公寓 nan'yuan'er'gong'yu
南苑二舍 nan'yuan'er'she
南苑六舍 nan'yuan'liu'she
南苑三公寓 nan'yuan'san'gong'yu
南苑三舍 nan'yuan'san'she
南苑四舍 nan'yuan'si'she
南苑五舍 nan'yuan'wu'she
南苑一舍 nan'yuan'yi'she
汽车工程学院 qi'che'gong'cheng'xue'yuan
汽研 qi'yan
前进大街 qian'jin'da'jie
前进广场 qian'jin'guang'chang
前卫北区 qian'wei'bei'qu
前卫南区 qian'wei'nan'qu
前卫南校 qian'wei'nan'xiao
前卫校区 qian'wei'xiao'qu
人民大街 ren'min'da'jie
榕九 rong'jiu
榕六 rong'liu
榕十 rong'shi
榕五 rong'wu
榕一 rong'yi
三公寓 san'gong'yu
三灶 san'zao
盛客 sheng'ke
十二公寓 shi'er'gong'yu
十公寓 shi'gong'yu
十阶 shi'jie
十一公寓 shi'yi'gong'yu
水工楼 shui'gong'lou
唐敖庆 tang'ao'qing
唐敖庆楼 tang'ao'qing'lou
同为社 tong'wei'she
通信工程学院 tong'xin'gong'cheng'xue'yuan
文化广场 wen'hua'guang'chang
文四 wen'si
文苑三舍 wen'yuan'san'she
文苑四舍 wen'yuan'si'she
文苑一舍 wen'yuan'yi'she
物流系 wu'liu'xi
五月花广场 wu'yue'hua'guang'chang
西朝阳路 xi'chao'yang'lu
西民主大街 xi'min'zhu'da'jie
先锋论坛 xian'feng'lun'tan
小泉居 xiao'quan'ju
新北方 xin'bei'fang
新饭堂 xin'fan'tang
新疆街 xin'jiang'jie
新民 xin'min
新民大街 xin'min'da'jie
新民广场 xin'min'guang'chang
新民校区 xin'min'xiao'qu
莘子园 xin'zi'yuan
行政系 xing'zheng'xi
修正路 xiu'zheng'lu
许瀚 xu'han
徐思佳 xu'si'jia
学子卡 xue'zi'ka
亚泰大街 ya'tai'da'jie
阳光志愿者协会 yang'guang'zhi'yuan'zhe'xie'hui
易达 yi'da
仪电 yi'dian
逸夫教学楼 yi'fu'jiao'xue'lou
倚澜观邸 yi'lan'guan'di
幽草 you'cao
油页岩 you'ye'yan
友谊会馆 you'yi'hui'guan
院优秀学生 yuan'you'xiu'xue'sheng
展涛 zhan'tao
朝阳校区 zhao'yang'xiao'qu
哲学社会学院 zhe'xue'she'hui'xue'yuan
竹八 zhu'ba
竹二 zhu'er
珠海学院 zhu'hai'xue'yuan
竹六 zhu'liu
竹七 zhu'qi
竹三 zhu'san
竹四 zhu'si
竹一 zhu'yi
卓信 zhuo'xin
